priority,batch,type,master_slug,display_name_ham,category_slug,cluster_size,search_volume_est,notes
79,B2-high-singleton,singleton,carkifelek-passion-fruit,Çarkıfelek (Passion Fruit),meyve,1,150,
80,B2-high-singleton,singleton,carliston-biber,Çarliston Biber,sebze-meyve,1,150,
81,B2-high-singleton,singleton,carli-biber,Çarlı Biber,sebze-meyve,1,150,
82,B2-high-singleton,singleton,cemen-deniz,ÇEMEN ( DENİZ ),balik-deniz,1,150,
83,B2-high-singleton,singleton,cennet-elmasi,CENNET ELMASI,sebze-meyve,1,150,
84,B2-high-singleton,singleton,ceylan,CEYLAN,balik,1,150,
85,B2-high-singleton,singleton,cibes,CİBES,sebze,1,150,
86,B2-high-singleton,singleton,cibez,CİBEZ,sebze,1,150,
87,B2-high-singleton,singleton,cin-biber,Cin Biber,sebze-meyve,1,150,
88,B2-high-singleton,singleton,cinekop,ÇİNEKOP,balik,1,150,
89,B2-high-singleton,singleton,ciroz-donuk,ÇİROZ(DONUK),balik-ithal,1,150,
90,B2-high-singleton,singleton,ciplak-mezgit,Çıplak Mezgit,sebze-meyve,1,150,
91,B2-high-singleton,singleton,cupra,ÇUPRA,balik,1,150,
92,B2-high-singleton,singleton,curuba,CURUBA,meyve,1,150,
93,B2-high-singleton,singleton,dari-adet,DARI(ADET),meyve,1,150,
94,B2-high-singleton,singleton,defne-yapragi-yas-taze,DEFNE YAPRAĞI (YAŞ-TAZE),sebze-meyve,1,150,
95,B2-high-singleton,singleton,dolmalik-biber,Dolmalık Biber,sebze-meyve,1,150,
96,B2-high-singleton,singleton,dongel,Döngel,sebze-meyve,1,150,
97,B2-high-singleton,singleton,e-kulak,E.KULAK,sebze-meyve,1,150,
98,B2-high-singleton,singleton,ebegumeci,EBEGÜMECİ,sebze-meyve,1,150,
99,B2-high-singleton,singleton,eksi-ot-bag,EKŞİ OT (BAĞ),sebze,1,150,
100,B2-high-singleton,singleton,eksimen,Ekşimen,sebze-meyve,1,150,
101,B3-medium,singleton,endeviyen,Endeviyen,sebze,1,150,
102,B3-medium,singleton,endivyen,Endivyen,sebze,1,150,
103,B3-medium,singleton,eskina-deniz,EŞKİNA(DENİZ),balik-deniz,1,150,
104,B3-medium,singleton,fangri-deniz,FANGRI (DENİZ),balik-deniz,1,150,
105,B3-medium,singleton,fejoya,FEJOYA,meyve,1,150,
106,B3-medium,singleton,fener-deniz,FENER (DENİZ),balik-deniz,1,150,
107,B3-medium,singleton,findik-taze,FINDIK TAZE,meyve,1,150,
108,B3-medium,singleton,fini-biber,FİNİ BİBER,sebze-meyve,1,150,
109,B3-medium,singleton,flokarya-deniz,FLOKARYA (DENİZ),balik-deniz,1,150,
110,B3-medium,singleton,frenk-uzumu,Frenk Üzümü,meyve,1,150,
111,B3-medium,singleton,ginger-zencefil,Ginger (Zencefil),ithal,1,150,
112,B3-medium,singleton,gobek-salata,Göbek Salata,sebze,1,150,
113,B3-medium,singleton,gocmen,GÖÇMEN,balik-deniz,1,150,
114,B3-medium,singleton,granadilla,GRANADİLLA,meyve,1,150,
115,B3-medium,singleton,guanabana,GUANABANA,meyve,1,150,
116,B3-medium,singleton,guava,GUAVA,meyve,1,150,
117,B3-medium,singleton,hani-deniz,HANİ(DENİZ),balik-deniz,1,150,
118,B3-medium,singleton,hanos-deniz,HANOS ( DENİZ ),balik-deniz,1,150,
119,B3-medium,singleton,hinnap,Hinnap,meyve,1,150,
120,B3-medium,singleton,hirtlak,HIRTLAK,sebze,1,150,
121,B3-medium,singleton,hunnap,HÜNNAP,meyve,1,150,
122,B3-medium,singleton,igde,İĞDE,sebze-meyve,1,150,
123,B3-medium,singleton,iskaroz,İSKAROZ,balik-deniz,1,150,
124,B3-medium,singleton,iskatarya,ISKATARYA,balik-deniz,1,150,
125,B3-medium,singleton,iskorpit-deniz,ISKORPIT (DENİZ),balik-deniz,1,150,
126,B3-medium,singleton,ispari,ISPARİ,balik,1,150,
127,B3-medium,singleton,isparoz-deniz,ISPAROZ (DENİZ),balik-deniz,1,150,
128,B3-medium,singleton,ispendek-deniz,İSPENDEK(DENİZ),balik-deniz,1,150,
129,B3-medium,singleton,istakoz-deniz,İSTAKOZ (DENİZ),balik-deniz,1,150,
130,B3-medium,singleton,jalapeno,Jalapeno,sebze-meyve,1,150,
131,B3-medium,singleton,japon-hamsi,JAPON HAMSİ,balik-deniz,1,150,
132,B3-medium,singleton,kamit-deniz,KAMİT(DENİZ),balik-deniz,1,150,
133,B3-medium,singleton,karadut,Karadut,sebze-meyve,1,150,
134,B3-medium,singleton,karalahana,KARALAHANA,sebze-meyve,1,150,
135,B3-medium,singleton,karambola,KARAMBOLA,meyve,1,150,
136,B3-medium,singleton,karnibahar,Karnıbahar,sebze-meyve,1,150,
137,B3-medium,singleton,kaya-korugu,KAYA KORUĞU,sebze-meyve,1,150,
138,B3-medium,singleton,keler-deniz,KELER(DENİZ),balik-deniz,1,150,
139,B3-medium,singleton,kerevit-deniz,KEREVİT ( DENİZ ),balik-deniz,1,150,
140,B3-medium,singleton,kiv-marul,KIV. MARUL,sebze-meyve,1,150,
141,B3-medium,singleton,kivano,KİVANO,meyve,1,150,
142,B3-medium,singleton,kizilcik,KIZILCIK,meyve,1,150,
143,B3-medium,singleton,kil-sivri-biber,Kıl Sivri Biber,sebze-meyve,1,150,
144,B3-medium,singleton,kofana-deniz,KOFANA ( DENİZ ),balik-deniz,1,150,
145,B3-medium,singleton,kokty-domates-ceri,KOKTY DOMATES (ÇERİ),sebze-meyve,1,150,
146,B3-medium,singleton,kopek-deniz,KÖPEK (DENİZ),balik-deniz,1,150,
147,B3-medium,singleton,kotek,KÖTEK,balik,1,150,
